Region,Country Name,Mobile users per capita,Population: Total (count),Year
The Americas,"Venezuela, RB",0.22,24311000.0,2000
The Americas,"Venezuela, RB",0.97,28834000.0,2010
Asia,Vietnam,0.01,77630900.0,2000
Asia,Vietnam,1.77,86927700.0,2010
The Americas,Virgin Islands (U.S.),0.32,108639.0,2000
The Americas,Virgin Islands (U.S.),NA,109750.0,2010
NA,West Bank and Gaza,0.00,3004150.0,2000
NA,West Bank and Gaza,NA,3905364.0,2010
Middle East,"Yemen, Rep.",0.00,17723186.0,2000
Middle East,"Yemen, Rep.",0.46,24052514.0,2010
Africa,Zambia,0.01,10201562.0,2000
Africa,Zambia,0.42,12926409.0,2010
Africa,Zimbabwe,0.02,12509477.0,2000
Africa,Zimbabwe,0.61,12571454.0,2010
