Region,Country Name,Mobile users per capita,Population: Total (count),Year,Migration: Top 3 destinations,Migration: Top 3 sources
Europe,Croatia,0.23,4426000.0,2000,"[('Germany', 224721.0), ('Austria', 85547.0), ('United States', 58970.0)]",
The Americas,Cuba,0.00,11104313.0,2000,"[('United States', 894560.0), ('Spain', 40965.0), ('United Kingdom', 18288.0)]",
The Americas,Curacao,NA,133860.0,2000,[],
Europe,Cyprus,0.23,943294.0,2000,"[('United Kingdom', 79291.0), ('France', 29024.0), ('Australia', 19299.0)]",
Europe,Czech Republic,0.42,10272322.0,2000,"[('Germany', 402366.0), ('France', 220766.0), ('Slovak Republic', 74910.0)]",
Europe,Denmark,0.63,5339616.0,2000,"[('Sweden', 37783.0), ('United States', 33156.0), ('France', 26958.0)]",
Africa,Djibouti,0.00,731930.0,2000,"[('Ethiopia', 1513.0), ('United Kingdom', 919.0), ('Canada', 486.0)]",
The Americas,Dominica,0.02,69672.0,2000,"[('United States', 17967.0), ('Guadeloupe', 6275.0), ('Virgin Islands (U.S.)', 4919.0)]",
The Americas,Dominican Republic,0.08,8591967.0,2000,"[('United States', 706894.0), ('Spain', 35587.0), ('Italy', 17851.0)]",
The Americas,Ecuador,0.04,12345023.0,2000,"[('United States', 302705.0), ('Spain', 176212.0), ('Venezuela, RB', 29027.0)]",
Africa,"Egypt, Arab Rep.",0.02,67648419.0,2000,"[('Saudi Arabia', 980205.0), ('Libya', 318394.0), ('United Arab Emirates', 133986.0)]",
The Americas,El Salvador,0.13,5940305.0,2000,"[('United States', 827583.0), ('Canada', 38167.0), ('Guatemala', 11854.0)]",
Africa,Equatorial Guinea,0.01,520380.0,2000,"[('Gabon', 38709.0), ('Spain', 10778.0), ('Nigeria', 3153.0)]",
Africa,Eritrea,0.00,3667576.0,2000,"[('Ethiopia', 255018.0), ('Saudi Arabia', 30072.0), ('United States', 17438.0)]",
Europe,Estonia,0.41,1369515.0,2000,"[('Russian Federation', 67402.0), ('Germany', 42892.0), ('Finland', 31597.0)]",
Africa,Ethiopia,0.00,65577897.0,2000,"[('United States', 71578.0), ('Israel', 66967.0), ('Djibouti', 25437.0)]",
Europe,Faeroe Islands,0.37,45743.0,2000,"[('Denmark', 9914.0), ('France', 2665.0), ('Norway', 921.0)]",
Oceania,Fiji,0.07,811718.0,2000,"[('Australia', 43695.0), ('United States', 31505.0), ('New Zealand', 25402.0)]",
Europe,Finland,0.72,5176209.0,2000,"[('Sweden', 193364.0), ('France', 79086.0), ('United States', 23608.0)]",
Europe,France,0.48,60910922.0,2000,"[('United States', 198061.0), ('Spain', 126435.0), ('United Kingdom', 116631.0)]",
Oceania,French Polynesia,0.17,237638.0,2000,"[('United States', 7709.0), ('New Caledonia', 3514.0), ('France', 477.0)]",
Africa,Gabon,0.10,1235274.0,2000,"[('Mali', 4543.0), ('Ghana', 4040.0), ('Germany', 1228.0)]",
Africa,"Gambia, The",0.00,1297084.0,2000,"[('Senegal', 7374.0), ('Spain', 5083.0), ('Nigeria', 4312.0)]",
Asia,Georgia,0.04,4418300.0,2000,"[('Russian Federation', 628973.0), ('Israel', 86254.0), ('Germany', 75104.0)]",
Europe,Germany,0.59,82211508.0,2000,"[('United States', 1250815.0), ('United Kingdom', 338110.0), ('Turkey', 272995.0)]",
Africa,Ghana,0.01,19165490.0,2000,"[('Nigeria', 123169.0), (""Cote d'Ivoire"", 75072.0), ('United States', 68432.0)]",
Europe,Greece,0.54,10917482.0,2000,"[('Germany', 367554.0), ('United States', 179950.0), ('Australia', 115342.0)]",
The Americas,Greenland,0.27,56200.0,2000,"[('Denmark', 11934.0), ('France', 1760.0), ('Guatemala', 248.0)]",
The Americas,Grenada,0.04,101522.0,2000,"[('United States', 27847.0), ('Trinidad and Tobago', 11335.0), ('Canada', 8755.0)]",
Oceania,Guam,0.18,155147.0,2000,"[('United States', 47896.0), ('Northern Mariana Islands', 1607.0), ('Philippines', 1016.0)]",
The Americas,Guatemala,0.08,11237101.0,2000,"[('United States', 489507.0), ('Mexico', 24148.0), ('Belize', 14672.0)]",
Africa,Guinea,0.01,8344486.0,2000,"[(""Cote d'Ivoire"", 129807.0), ('Senegal', 74213.0), ('Sierra Leone', 58908.0)]",
Africa,Guinea-Bissau,0.00,1240655.0,2000,"[('Senegal', 42094.0), ('Gambia, The', 10281.0), ('Nigeria', 3206.0)]",
The Americas,Guyana,0.05,733101.0,2000,"[('United States', 219060.0), ('Canada', 82057.0), ('Suriname', 7919.0)]",
The Americas,Haiti,0.01,8645371.0,2000,"[('United States', 435259.0), ('Dominican Republic', 228274.0), ('Canada', 52606.0)]",
The Americas,Honduras,0.02,6218151.0,2000,"[('United States', 288779.0), ('Nicaragua', 10960.0), ('El Salvador', 8802.0)]",
Asia,"Hong Kong SAR, China",0.82,6665000.0,2000,"[('Canada', 234201.0), ('United States', 207845.0), ('United Kingdom', 143805.0)]",
Europe,Hungary,0.30,10210971.0,2000,"[('United States', 93543.0), ('Germany', 71830.0), ('Canada', 49398.0)]",
