Region,Country Name,Mobile users per capita,Population,Year,Migration: Top 3 destinations,Migration: Top 3 sources
Asia,Afghanistan,0.00,25950816,2000,"[('Iran, Islamic Rep.', 762129.0), ('Kuwait', 88350.0), ('United States', 44893.0)]","[('Bangladesh', 41817.0), ('Pakistan', 14877.0), ('Nepal', 7169.0)]"
Europe,Albania,0.01,3071856,2000,"[('Greece', 420838.0), ('Italy', 275300.0), ('Germany', 221897.0)]","[('Greece', 67508.0), ('Macedonia, FYR', 5396.0), ('Hungary', 599.0)]"
Africa,Algeria,0.00,30533827,2000,"[('France', 1057135.0), ('Israel', 46734.0), ('United Kingdom', 40555.0)]","[('Morocco', 41770.0), ('France', 28772.0), ('Tunisia', 5426.0)]"
Oceania,American Samoa,0.03,57625,2000,"[('United States', 16339.0), ('Samoa', 1920.0), ('New Zealand', 391.0)]","[('Samoa', 17777.0), ('United States', 3605.0), ('Tonga', 1150.0)]"
Europe,Andorra,0.36,64634,2000,"[('Spain', 2888.0), ('France', 394.0), ('Portugal', 371.0)]","[('Spain', 24505.0), ('Portugal', 8513.0), ('France', 4346.0)]"
Africa,Angola,0.00,13926373,2000,"[('Portugal', 167578.0), ('Namibia', 52200.0), ('United Kingdom', 33459.0)]","[('Portugal', 10113.0), ('Cape Verde', 6780.0), ('Sao Tome and Principe', 5915.0)]"
The Americas,Antigua and Barbuda,0.28,77656,2000,"[('United States', 19151.0), ('Philippines', 5791.0), ('Virgin Islands (U.S.)', 4842.0)]","[('Guyana', 3638.0), ('Dominica', 2675.0), ('Jamaica', 2249.0)]"
The Americas,Argentina,0.18,36930709,2000,"[('United States', 133210.0), ('Spain', 83803.0), ('Paraguay', 64284.0)]","[('Paraguay', 331688.0), ('Bolivia', 237213.0), ('Italy', 224155.0)]"
Asia,Armenia,0.01,3076098,2000,"[('Russian Federation', 481328.0), ('United States', 99985.0), ('Azerbaijan', 89898.0)]","[('Azerbaijan', 115689.0), ('Georgia', 66796.0), ('Russian Federation', 29077.0)]"
The Americas,Aruba,0.17,90271,2000,"[('Netherlands Antilles', 3317.0), ('United States', 2101.0), ('Netherlands', 1104.0)]","[('Colombia', 7047.0), ('Netherlands', 3678.0), ('Dominican Republic', 3630.0)]"
Oceania,Australia,0.45,19153000,2000,"[('United Kingdom', 113700.0), ('United States', 74459.0), ('New Zealand', 56375.0)]","[('United Kingdom', 1026553.0), ('New Zealand', 350498.0), ('Italy', 216676.0)]"
Europe,Austria,0.76,8011566,2000,"[('Germany', 189096.0), ('United States', 72126.0), ('Serbia and Montenegro', 61465.0)]","[('Serbia and Montenegro', 187588.0), ('Turkey', 179638.0), ('Bosnia and Herzegovina', 152381.0)]"
Asia,Azerbaijan,0.05,8048600,2000,"[('Russian Federation', 846104.0), ('Israel', 225396.0), ('Armenia', 115689.0)]","[('Russian Federation', 106281.0), ('Armenia', 89898.0), ('Ukraine', 20764.0)]"
The Americas,"Bahamas, The",0.11,297651,2000,"[('United States', 30465.0), ('Canada', 1419.0), ('Turks and Caicos Islands', 940.0)]","[('Haiti', 12703.0), ('United States', 4989.0), ('Jamaica', 3256.0)]"
Middle East,Bahrain,0.32,638193,2000,"[('Thailand', 9980.0), ('Philippines', 8252.0), ('Indonesia', 4388.0)]","[('India', 39310.0), ('Afghanistan', 34419.0), ('Pakistan', 24149.0)]"
Asia,Bangladesh,0.00,129592275,2000,"[('India', 3789377.0), ('Saudi Arabia', 366007.0), ('United Kingdom', 163655.0)]","[('India', 936151.0), ('Pakistan', 19837.0), ('Nepal', 4004.0)]"
The Americas,Barbados,0.11,267511,2000,"[('United States', 54282.0), ('Canada', 14677.0), ('United Kingdom', 8194.0)]","[('St. Vincent and the Grenadines', 4401.0), ('St. Lucia', 3970.0), ('United Kingdom', 3576.0)]"
Europe,Belarus,0.00,10005000,2000,"[('Russian Federation', 935782.0), ('Ukraine', 270751.0), ('Poland', 113204.0)]","[('Russian Federation', 549738.0), ('Poland', 291909.0), ('Ukraine', 187293.0)]"
