start_country,end_country,start_lat,start_long,end_lat,end_long,count
France,Luxembourg,46,2,49.75,6.1667,18733.0
Greece,Belgium,39,22,50.8333,4,18659.0
France,Libya,46,2,25,17,18545.0
Ukraine,Spain,49,32,40,-4,18491.0
Cambodia,Canada,13,105,60,-95,18476.0
Chad,Nigeria,15,19,10,8,18127.0
Greece,France,39,22,46,2,18096.0
Argentina,France,-34,-64,46,2,17999.0
Zambia,Malawi,-15,30,-13.5,34,17987.0
Hungary,Austria,47,20,47.3333,13.3333,17955.0
Colombia,France,4,-72,46,2,17931.0
Colombia,Canada,4,-72,60,-95,17918.0
Denmark,Canada,56,10,60,-95,17882.0
Tonga,New Zealand,-20,-175,-41,174,17817.0
Samoa,American Samoa,-13.5833,-172.3333,-14.3333,-170,17777.0
Ecuador,France,-2,-77.5,46,2,17761.0
Peru,Canada,-10,-76,60,-95,17757.0
Botswana,South Africa,-22,24,-29,24,17676.0
Senegal,Germany,14,-14,51,9,17526.0
Thailand,Saudi Arabia,15,100,25,45,17422.0
Tajikistan,Kazakhstan,39,71,48,68,17313.0
Turkey,Canada,39,35,60,-95,17305.0
Mali,Senegal,17,-4,14,-14,17163.0
Chile,Brazil,-30,-71,-10,-55,17155.0
France,Australia,46,2,-27,133,17107.0
India,South Africa,20,77,-29,24,17047.0
Mexico,Ukraine,23,-102,49,32,16959.0
Mauritius,Australia,-20.2833,57.55,-27,133,16958.0
Finland,Germany,64,26,51,9,16932.0
Azerbaijan,Turkey,40.5,47.5,39,35,16916.0
Mexico,Spain,23,-102,40,-4,16905.0
Israel,Canada,31.5,34.75,60,-95,16897.0
Romania,Bulgaria,46,25,43,25,16801.0
Nigeria,Chad,10,8,15,19,16799.0
Cyprus,Greece,35,33,39,22,16742.0
Cameroon,Nigeria,6,12,10,8,16735.0
Germany,Hungary,51,9,47,20,16733.0
Ghana,Canada,8,-2,60,-95,16586.0
Burundi,Uganda,-3.5,30,1,32,16370.0
Mozambique,Zambia,-18.25,35,-15,30,16351.0
Bangladesh,Singapore,24,90,1.3667,103.8,16327.0
Georgia,Azerbaijan,42,43.5,40.5,47.5,16291.0
Belarus,Armenia,53,28,40,45,16260.0
Brazil,China,-10,-55,35,105,16246.0
Tanzania,Mozambique,TZA,-6,-18.25,35,16207.0
Norway,Denmark,62,10,56,10,16202.0
Sri Lanka,Thailand,7,81,15,100,16084.0
Lebanon,Brazil,33.8333,35.8333,-10,-55,16068.0
Uganda,Rwanda,1,32,-2,30,16028.0
Lebanon,Nigeria,33.8333,35.8333,10,8,15961.0
France,Turkey,46,2,39,35,15948.0
Pakistan,Nepal,30,70,28,84,15925.0
Algeria,Italy,28,3,42.8333,12.8333,15861.0
Algeria,Tunisia,28,3,34,9,15846.0
Ireland,Germany,53,-8,51,9,15805.0
Japan,Thailand,36,138,15,100,15779.0
Brazil,France,-10,-55,46,2,15717.0
Syrian Arab Republic,Canada,35,38,60,-95,15586.0
Guinea,Mali,11,-10,17,-4,15563.0
Malawi,Zambia,-13.5,34,-15,30,15551.0
Germany,Bosnia and Herzegovina,51,9,44,18,15540.0
Afghanistan,Germany,33,65,51,9,15529.0
Nigeria,Germany,10,8,51,9,15492.0
Ukraine,Hungary,49,32,47,20,15422.0
Georgia,France,42,43.5,46,2,15420.0
South Africa,Swaziland,-29,24,-26.5,31.5,15404.0
Portugal,Australia,39.5,-8,-27,133,15296.0
Morocco,Saudi Arabia,32,-5,25,45,15230.0
India,Israel,20,77,31.5,34.75,15159.0
Iraq,Qatar,33,44,25.5,51.25,15152.0
Indonesia,Qatar,-5,120,25.5,51.25,15127.0
Ukraine,Romania,49,32,46,25,15114.0
Colombia,Italy,4,-72,42.8333,12.8333,15042.0
Mozambique,Swaziland,-18.25,35,-26.5,31.5,14943.0
Malaysia,India,2.5,112.5,20,77,14903.0
Iraq,Denmark,33,44,56,10,14891.0
Belarus,Estonia,53,28,59,26,14883.0
Pakistan,Afghanistan,30,70,33,65,14877.0
Thailand,China,15,100,35,105,14829.0
Estonia,France,59,26,46,2,14705.0
Belgium,Luxembourg,50.8333,4,49.75,6.1667,14687.0
Barbados,Canada,13.1667,-59.5333,60,-95,14677.0
Guatemala,Belize,15.5,-90.25,17.25,-88.75,14672.0
Azerbaijan,Turkmenistan,40.5,47.5,40,60,14599.0
Chile,Spain,-30,-71,40,-4,14592.0
Senegal,Gabon,14,-14,-1,11.75,14586.0
Brazil,Israel,-10,-55,31.5,34.75,14516.0
Poland,Argentina,52,20,-34,-64,14469.0
Afghanistan,Pakistan,33,65,30,70,14461.0
Italy,Austria,42.8333,12.8333,47.3333,13.3333,14428.0
India,Thailand,20,77,15,100,14419.0
France,Puerto Rico,46,2,18.25,-66.5,14326.0
Austria,Turkey,47.3333,13.3333,39,35,14309.0
Bangladesh,Germany,24,90,51,9,14155.0
Ecuador,Germany,-2,-77.5,51,9,14116.0
Ethiopia,Canada,8,38,60,-95,14075.0
Syrian Arab Republic,Sweden,35,38,62,15,14005.0
Finland,Canada,64,26,60,-95,13990.0
Bulgaria,Lebanon,43,25,33.8333,35.8333,13982.0
Hungary,Sweden,47,20,62,15,13975.0
Ukraine,Australia,49,32,-27,133,13931.0
Guatemala,Canada,15.5,-90.25,60,-95,13851.0
Jordan,Bahrain,31,36,26,50.55,13837.0
Ukraine,Italy,49,32,42.8333,12.8333,13755.0
France,Madagascar,46,2,-20,47,13633.0
Pakistan,Norway,30,70,62,10,13570.0
Argentina,Canada,-34,-64,60,-95,13536.0
Nepal,Saudi Arabia,28,84,25,45,13526.0
Zambia,Tanzania,-15,30,TZA,-6,13522.0
Estonia,Sweden,59,26,62,15,13485.0
Brazil,Canada,-10,-55,60,-95,13365.0
Malaysia,France,2.5,112.5,46,2,13356.0
Lebanon,Libya,33.8333,35.8333,25,17,13348.0
Poland,Spain,52,20,40,-4,13253.0
Algeria,Morocco,28,3,32,-5,13233.0
Pakistan,Singapore,30,70,1.3667,103.8,13233.0
Latvia,France,57,25,46,2,13193.0
Samoa,Australia,-13.5833,-172.3333,-27,133,13084.0
Ukraine,Greece,49,32,39,22,13082.0
Spain,Morocco,40,-4,32,-5,13040.0
Liberia,Nigeria,6.5,-9.5,10,8,12997.0
Angola,France,-12.5,18.5,46,2,12986.0
Brazil,Uruguay,-10,-55,-33,-56,12950.0
Somalia,Sweden,10,49,62,15,12936.0
Germany,Luxembourg,51,9,49.75,6.1667,12856.0
Haiti,Puerto Rico,19,-72.4167,18.25,-66.5,12809.0
Bangladesh,Lebanon,24,90,33.8333,35.8333,12805.0
Ghana,Liberia,8,-2,6.5,-9.5,12790.0
Afghanistan,Saudi Arabia,33,65,25,45,12746.0
Romania,Australia,46,25,-27,133,12700.0
Spain,Portugal,40,-4,39.5,-8,12697.0
New Zealand,France,-41,174,46,2,12694.0
Germany,Qatar,51,9,25.5,51.25,12654.0
Spain,Australia,40,-4,-27,133,12541.0
Switzerland,Portugal,47,8,39.5,-8,12482.0
Rwanda,Ethiopia,-2,30,8,38,12420.0
Japan,Malaysia,36,138,2.5,112.5,12412.0
Cote d'Ivoire,Italy,8,-5,42.8333,12.8333,12381.0
Poland,Greece,52,20,39,22,12332.0
Sri Lanka,Jordan,7,81,31,36,12320.0
Iraq,France,33,44,46,2,12294.0
Italy,Luxembourg,42.8333,12.8333,49.75,6.1667,12274.0
Sao Tome and Principe,Portugal,1,7,39.5,-8,12267.0
Canada,Germany,60,-95,51,9,12239.0
Iraq,Bahrain,33,44,26,50.55,12203.0
Bangladesh,Bahrain,24,90,26,50.55,12198.0
Lithuania,Belarus,56,24,53,28,12161.0
Lebanon,Denmark,33.8333,35.8333,56,10,11982.0
Kazakhstan,Turkmenistan,48,68,40,60,11955.0
Cuba,France,21.5,-80,46,2,11952.0
Mauritania,Nigeria,20,-12,10,8,11938.0
Greenland,Denmark,72,-40,56,10,11934.0
Angola,South Africa,-12.5,18.5,-29,24,11882.0
El Salvador,Guatemala,13.8333,-88.9167,15.5,-90.25,11854.0
Bosnia and Herzegovina,Norway,44,18,62,10,11818.0
Ethiopia,Sweden,8,38,62,15,11776.0
Cyprus,Germany,35,33,51,9,11750.0
Pakistan,Australia,30,70,-27,133,11745.0
Cuba,Italy,21.5,-80,42.8333,12.8333,11697.0
Germany,Norway,51,9,62,10,11688.0
Ukraine,France,49,32,46,2,11687.0
Zimbabwe,Australia,-20,30,-27,133,11676.0
Colombia,Germany,4,-72,51,9,11667.0
Romania,Sweden,46,25,62,15,11646.0
Uganda,Tanzania,1,32,TZA,-6,11641.0
Malawi,Mozambique,-13.5,34,-18.25,35,11612.0
Uganda,India,1,32,20,77,11575.0
Somalia,Denmark,10,49,56,10,11556.0
Nigeria,Gabon,10,8,-1,11.75,11494.0
Liberia,Israel,6.5,-9.5,31.5,34.75,11441.0
Bosnia and Herzegovina,Hungary,44,18,47,20,11393.0
Senegal,Mali,14,-14,17,-4,11380.0
China,Hungary,35,105,47,20,11379.0
Ecuador,Colombia,-2,-77.5,4,-72,11366.0
Indonesia,Germany,-5,120,51,9,11363.0
Sri Lanka,France,7,81,46,2,11361.0
Mozambique,Botswana,-18.25,35,-22,24,11355.0
Germany,Greece,51,9,39,22,11349.0
Grenada,Trinidad and Tobago,12.1167,-61.6667,11,-61,11335.0
Malaysia,New Zealand,2.5,112.5,-41,174,11320.0
Afghanistan,Australia,33,65,-27,133,11128.0
Japan,France,36,138,46,2,11126.0
Ecuador,Canada,-2,-77.5,60,-95,11121.0
Nigeria,Saudi Arabia,10,8,25,45,11081.0
Lebanon,France,33.8333,35.8333,46,2,11033.0
Jordan,Germany,31,36,51,9,11007.0
Togo,Gabon,8,1.1667,-1,11.75,11005.0
India,Sweden,20,77,62,15,10988.0
Singapore,France,1.3667,103.8,46,2,10970.0
Honduras,Nicaragua,15,-86.5,13,-85,10960.0
Mexico,Guatemala,23,-102,15.5,-90.25,10901.0
Chile,France,-30,-71,46,2,10892.0
Brazil,French Guiana,-10,-55,4,-53,10881.0
Greece,Cyprus,39,22,35,33,10857.0
Myanmar,Australia,22,98,-27,133,10821.0
Peru,Brazil,-10,-76,-10,-55,10811.0
Myanmar,Malaysia,22,98,2.5,112.5,10790.0
Equatorial Guinea,Spain,2,10,40,-4,10778.0
Uganda,Canada,1,32,60,-95,10771.0
Argentina,Australia,-34,-64,-27,133,10749.0
Greece,Sweden,39,22,62,15,10735.0
Lebanon,Israel,33.8333,35.8333,31.5,34.75,10694.0
Pakistan,Greece,30,70,39,22,10694.0
Armenia,Israel,40,45,31.5,34.75,10674.0
Switzerland,Australia,47,8,-27,133,10652.0
South Africa,Portugal,-29,24,39.5,-8,10646.0
Mauritius,Italy,-20.2833,57.55,42.8333,12.8333,10572.0
Togo,Burkina Faso,8,1.1667,13,-2,10515.0
Kenya,France,1,38,46,2,10493.0
Mali,Germany,17,-4,51,9,10493.0
Spain,Canada,40,-4,60,-95,10480.0
Poland,Denmark,52,20,56,10,10467.0
India,Syrian Arab Republic,20,77,35,38,10438.0
Pakistan,Malaysia,30,70,2.5,112.5,10437.0
Bulgaria,Italy,43,25,42.8333,12.8333,10434.0
Germany,Argentina,51,9,-34,-64,10420.0
South Africa,France,-29,24,46,2,10398.0
Azerbaijan,Georgia,40.5,47.5,42,43.5,10395.0
Cyprus,Turkey,35,33,39,35,10384.0
Uzbekistan,Belarus,41,64,53,28,10362.0
Indonesia,Canada,-5,120,60,-95,10358.0
Burkina Faso,Nigeria,13,-2,10,8,10356.0
Switzerland,Turkey,47,8,39,35,10352.0
Nigeria,Canada,10,8,60,-95,10348.0
Mauritania,Cote d'Ivoire,20,-12,8,-5,10337.0
China,Brazil,35,105,-10,-55,10287.0
Indonesia,Jordan,-5,120,31,36,10282.0
Panama,Costa Rica,9,-80,10,-84,10279.0
Thailand,Sweden,15,100,62,15,10238.0
Sri Lanka,Kuwait,7,81,29.3375,47.6581,10198.0
Iraq,Lebanon,33,44,33.8333,35.8333,10140.0
Austria,Italy,47.3333,13.3333,42.8333,12.8333,10131.0
Germany,Ireland,51,9,53,-8,10126.0
Indonesia,Lebanon,-5,120,33.8333,35.8333,10123.0
Portugal,Angola,39.5,-8,-12.5,18.5,10113.0
Greece,Italy,39,22,42.8333,12.8333,10069.0
Armenia,Uzbekistan,40,45,41,64,10008.0
Saudi Arabia,Canada,25,45,60,-95,9984.0
Bahrain,Thailand,26,50.55,15,100,9980.0
Mali,Guinea,17,-4,11,-10,9945.0
Pakistan,Denmark,30,70,56,10,9917.0
Georgia,Belarus,42,43.5,53,28,9882.0
Ukraine,Portugal,49,32,39.5,-8,9843.0
Italy,South Africa,42.8333,12.8333,-29,24,9842.0
Kazakhstan,Azerbaijan,48,68,40.5,47.5,9789.0
Sierra Leone,Liberia,8.5,-11.5,6.5,-9.5,9774.0
Italy,Uruguay,42.8333,12.8333,-33,-56,9763.0
Singapore,Canada,1.3667,103.8,60,-95,9736.0
Slovenia,Austria,46,15,47.3333,13.3333,9722.0
Zambia,Namibia,-15,30,-22,17,9717.0
Afghanistan,India,33,65,20,77,9671.0
Turkey,Italy,39,35,42.8333,12.8333,9649.0
New Zealand,Canada,-41,174,60,-95,9639.0
Afghanistan,Turkey,33,65,39,35,9630.0
Nigeria,Ghana,10,8,8,-2,9596.0
El Salvador,Australia,13.8333,-88.9167,-27,133,9589.0
Malta,France,35.8333,14.5833,46,2,9528.0
Tanzania,Malawi,TZA,-6,-13.5,34,9518.0
Ukraine,Argentina,49,32,-34,-64,9498.0
Sri Lanka,Pakistan,7,81,30,70,9478.0
Uruguay,Australia,-33,-56,-27,133,9463.0
New Caledonia,France,-21.5,165.5,46,2,9450.0
China,Panama,35,105,9,-80,9433.0
Thailand,Brunei Darussalam,15,100,4.5,114.6667,9412.0
Kuwait,Canada,29.3375,47.6581,60,-95,9411.0
Israel,Germany,31.5,34.75,51,9,9351.0
Thailand,Singapore,15,100,1.3667,103.8,9326.0
Jordan,Qatar,31,36,25.5,51.25,9311.0
Burkina Faso,Senegal,13,-2,14,-14,9296.0
Bulgaria,Canada,43,25,60,-95,9294.0
Jordan,Oman,31,36,21,57,9289.0
Nicaragua,Canada,13,-85,60,-95,9279.0
Malta,Canada,35.8333,14.5833,60,-95,9255.0
Suriname,French Guiana,4,-56,4,-53,9218.0
Kazakhstan,Georgia,48,68,42,43.5,9211.0
Senegal,Spain,14,-14,40,-4,9192.0
Tunisia,Saudi Arabia,34,9,25,45,9182.0
Afghanistan,Syrian Arab Republic,33,65,35,38,9172.0
Canada,Japan,60,-95,36,138,9167.0
China,Jordan,35,105,31,36,9143.0
Iraq,Turkey,33,44,39,35,9130.0
Slovenia,Canada,46,15,60,-95,9124.0
Belgium,Italy,50.8333,4,42.8333,12.8333,9121.0
South Africa,India,-29,24,20,77,9041.0
Portugal,Argentina,39.5,-8,-34,-64,9019.0
Brazil,Switzerland,-10,-55,47,8,8999.0
Denmark,Australia,56,10,-27,133,8944.0
Bangladesh,Australia,24,90,-27,133,8943.0
Azerbaijan,Qatar,40.5,47.5,25.5,51.25,8901.0
Ecuador,Chile,-2,-77.5,-30,-71,8846.0
Pakistan,Spain,30,70,40,-4,8843.0
Honduras,El Salvador,15,-86.5,13.8333,-88.9167,8802.0
Germany,Croatia,51,9,45.1667,15.5,8781.0
Thailand,Canada,15,100,60,-95,8779.0
Grenada,Canada,12.1167,-61.6667,60,-95,8755.0
Belgium,Turkey,50.8333,4,39,35,8732.0
El Salvador,Costa Rica,13.8333,-88.9167,10,-84,8722.0
Spain,Chile,40,-4,-30,-71,8636.0
Indonesia,China,-5,120,35,105,8586.0
Kazakhstan,Latvia,48,68,57,25,8551.0
Portugal,Andorra,39.5,-8,42.5,1.5,8513.0
France,Cote d'Ivoire,46,2,8,-5,8511.0
Japan,New Zealand,36,138,-41,174,8482.0
Armenia,Kazakhstan,40,45,48,68,8481.0
Germany,Lebanon,51,9,33.8333,35.8333,8468.0
Australia,Papua New Guinea,-27,133,-6,147,8463.0
Martinique,Guadeloupe,14.6667,-61,16.25,-61.5833,8450.0
Botswana,Malawi,-22,24,-13.5,34,8438.0
Australia,Greece,-27,133,39,22,8423.0
Switzerland,Austria,47,8,47.3333,13.3333,8419.0
France,Brazil,46,2,-10,-55,8371.0
Latvia,Lithuania,57,25,56,24,8361.0
Germany,New Zealand,51,9,-41,174,8321.0
Chad,Saudi Arabia,15,19,25,45,8310.0
Kuwait,Iraq,29.3375,47.6581,33,44,8301.0
Nigeria,Ireland,10,8,53,-8,8200.0
India,Mauritius,20,77,-20.2833,57.55,8185.0
Finland,Australia,64,26,-27,133,8184.0
Belgium,Switzerland,50.8333,4,47,8,8172.0
Namibia,Malawi,-22,17,-13.5,34,8155.0
Kuwait,Qatar,29.3375,47.6581,25.5,51.25,8095.0
France,Cameroon,46,2,6,12,8092.0
Canada,Portugal,60,-95,39.5,-8,8067.0
China,Sweden,35,105,62,15,8060.0
Mali,Mauritania,17,-4,20,-12,8043.0
Croatia,France,45.1667,15.5,46,2,8029.0
Algeria,Belgium,28,3,50.8333,4,8004.0
Uzbekistan,Turkey,41,64,39,35,7970.0
Syrian Arab Republic,Qatar,35,38,25.5,51.25,7958.0
Lithuania,Kazakhstan,56,24,48,68,7954.0
Bulgaria,France,43,25,46,2,7946.0
Bhutan,India,27.5,90.5,20,77,7945.0
Guyana,Suriname,5,-59,4,-56,7919.0
Australia,Japan,-27,133,36,138,7916.0
Morocco,Qatar,32,-5,25.5,51.25,7876.0
France,Ireland,46,2,53,-8,7870.0
Oman,Saudi Arabia,21,57,25,45,7867.0
Australia,Germany,-27,133,51,9,7839.0
Latvia,Canada,57,25,60,-95,7836.0
Indonesia,Bahrain,-5,120,26,50.55,7820.0
Nigeria,Ethiopia,10,8,8,38,7796.0
Azerbaijan,Belarus,40.5,47.5,53,28,7794.0
Ukraine,Bulgaria,49,32,43,25,7794.0
Syrian Arab Republic,Bahrain,35,38,26,50.55,7786.0
Canada,New Zealand,60,-95,-41,174,7774.0
Mali,Benin,17,-4,9.5,2.25,7764.0
Sri Lanka,Denmark,7,81,56,10,7658.0
Cambodia,France,13,105,46,2,7605.0
Sweden,Spain,62,15,40,-4,7605.0
Turkey,Greece,39,35,39,22,7603.0
Tonga,Australia,-20,-175,-27,133,7596.0
Poland,Hungary,52,20,47,20,7582.0
Australia,Israel,-27,133,31.5,34.75,7570.0
Malaysia,Japan,2.5,112.5,36,138,7555.0
Burkina Faso,Togo,13,-2,8,1.1667,7540.0
India,Japan,20,77,36,138,7518.0
France,Gabon,46,2,-1,11.75,7510.0
Sweden,Canada,62,15,60,-95,7508.0
Turkey,Norway,39,35,62,10,7457.0
Sri Lanka,Norway,7,81,62,10,7450.0
Poland,Brazil,52,20,-10,-55,7449.0
Eritrea,Italy,15,39,42.8333,12.8333,7441.0
Armenia,Greece,40,45,39,22,7438.0
Malawi,Tanzania,-13.5,34,TZA,-6,7396.0
India,Spain,20,77,40,-4,7353.0
Syrian Arab Republic,Romania,35,38,46,25,7352.0
Latvia,Belarus,57,25,53,28,7335.0
France,Argentina,46,2,-34,-64,7332.0
China,Austria,35,105,47.3333,13.3333,7331.0
Malaysia,China,2.5,112.5,35,105,7278.0
Kuwait,India,29.3375,47.6581,20,77,7274.0
Nigeria,Spain,10,8,40,-4,7256.0
Uganda,Portugal,1,32,39.5,-8,7247.0
Colombia,Sweden,4,-72,62,15,7236.0
Angola,Germany,-12.5,18.5,51,9,7231.0
Poland,Belgium,52,20,50.8333,4,7205.0
Nepal,Afghanistan,28,84,33,65,7169.0
Spain,Puerto Rico,40,-4,18.25,-66.5,7166.0
Morocco,Tunisia,32,-5,34,9,7165.0
Wallis and Futuna,New Caledonia,-13.3,-176.2,-21.5,165.5,7165.0
Japan,Italy,36,138,42.8333,12.8333,7154.0
Bangladesh,Japan,24,90,36,138,7151.0
India,Tanzania,20,77,TZA,-6,7151.0
Portugal,Japan,39.5,-8,36,138,7147.0
France,Monaco,46,2,43.7333,7.4,7135.0
Zambia,Mozambique,-15,30,-18.25,35,7114.0
Poland,Armenia,52,20,40,45,7113.0
South Africa,Malawi,-29,24,-13.5,34,7104.0
Greece,Bulgaria,39,22,43,25,7091.0
Iraq,Norway,33,44,62,10,7088.0
Belarus,Turkmenistan,53,28,40,60,7059.0
Colombia,Aruba,4,-72,12.5,-69.9667,7047.0
Bulgaria,Saudi Arabia,43,25,25,45,7039.0
Lithuania,Canada,56,24,60,-95,7010.0
Swaziland,Malawi,-26.5,31.5,-13.5,34,6994.0
Greece,Israel,39,22,31.5,34.75,6987.0
Iceland,Germany,65,-18,51,9,6984.0
Nigeria,South Africa,10,8,-29,24,6959.0
Georgia,Cyprus,42,43.5,35,33,6945.0
India,Greece,20,77,39,22,6934.0
Kenya,South Africa,1,38,-29,24,6925.0
India,Afghanistan,20,77,33,65,6904.0
Martinique,French Guiana,14.6667,-61,4,-53,6890.0
India,Austria,20,77,47.3333,13.3333,6887.0
Brazil,Chile,-10,-55,-30,-71,6877.0
Somalia,Italy,10,49,42.8333,12.8333,6864.0
Kenya,Australia,1,38,-27,133,6855.0
Cuba,Mexico,21.5,-80,23,-102,6847.0
Bangladesh,Jordan,24,90,31,36,6835.0
Denmark,Greenland,56,10,72,-40,6808.0
Kenya,India,1,38,20,77,6801.0
Finland,Norway,64,26,62,10,6776.0
Ireland,New Zealand,53,-8,-41,174,6761.0
Sweden,Australia,62,15,-27,133,6754.0
Tanzania,Zambia,TZA,-6,-15,30,6739.0
Guatemala,El Salvador,15.5,-90.25,13.8333,-88.9167,6698.0
Mauritania,Mali,20,-12,17,-4,6697.0
Tanzania,Burundi,TZA,-6,-3.5,30,6689.0
Australia,Ireland,-27,133,53,-8,6672.0
Chile,Germany,-30,-71,51,9,6672.0
Iraq,Greece,33,44,39,22,6664.0
El Salvador,Honduras,13.8333,-88.9167,15,-86.5,6644.0
Latvia,Australia,57,25,-27,133,6627.0
Slovenia,Australia,46,15,-27,133,6622.0
Syrian Arab Republic,Australia,35,38,-27,133,6614.0
China,Switzerland,35,105,47,8,6600.0
Somalia,Norway,10,49,62,10,6582.0
Nigeria,France,10,8,46,2,6567.0
Kazakhstan,Lithuania,48,68,56,24,6566.0
Argentina,Mexico,-34,-64,23,-102,6564.0
Cameroon,Germany,6,12,51,9,6556.0
Mauritius,Canada,-20.2833,57.55,60,-95,6530.0
Estonia,Canada,59,26,60,-95,6524.0
Uzbekistan,Germany,41,64,51,9,6514.0
Israel,Australia,31.5,34.75,-27,133,6491.0
Greece,Switzerland,39,22,47,8,6484.0
Georgia,Turkey,42,43.5,39,35,6473.0
India,Portugal,20,77,39.5,-8,6466.0
India,Indonesia,20,77,-5,120,6424.0
Myanmar,Pakistan,22,98,30,70,6423.0
India,Switzerland,20,77,47,8,6419.0
Pakistan,Syrian Arab Republic,30,70,35,38,6415.0
Senegal,Guinea-Bissau,14,-14,12,-15,6407.0
Malawi,Botswana,-13.5,34,-22,24,6380.0
Ireland,India,53,-8,20,77,6368.0
Cote d'Ivoire,Germany,8,-5,51,9,6356.0
Angola,Brazil,-12.5,18.5,-10,-55,6331.0
Norway,Canada,62,10,60,-95,6323.0
India,Mozambique,20,77,-18.25,35,6312.0
Canada,Italy,60,-95,42.8333,12.8333,6301.0
Dominica,Guadeloupe,15.4167,-61.3333,16.25,-61.5833,6275.0
Sri Lanka,Qatar,7,81,25.5,51.25,6274.0
Italy,Sweden,42.8333,12.8333,62,15,6269.0
Algeria,Libya,28,3,25,17,6234.0
Jordan,Lebanon,31,36,33.8333,35.8333,6231.0
Colombia,Mexico,4,-72,23,-102,6217.0
Singapore,China,1.3667,103.8,35,105,6179.0
Canada,India,60,-95,20,77,6159.0
Uruguay,Canada,-33,-56,60,-95,6146.0
Sweden,Switzerland,62,15,47,8,6114.0
Albania,Canada,41,20,60,-95,6102.0
Nigeria,India,10,8,20,77,6095.0
South Africa,Ireland,-29,24,53,-8,6082.0
Luxembourg,Germany,49.75,6.1667,51,9,6075.0
Sri Lanka,New Zealand,7,81,-41,174,6065.0
Belarus,Georgia,53,28,42,43.5,6056.0
El Salvador,Belize,13.8333,-88.9167,17.25,-88.75,6038.0
Pakistan,Japan,30,70,36,138,6029.0
Belarus,Tajikistan,53,28,39,71,6000.0
Canada,Mexico,60,-95,23,-102,5990.0
Thailand,Switzerland,15,100,47,8,5980.0
