start_country,end_country,start_lat,start_long,end_lat,end_long,count
Uzbekistan,Israel,41,64,31.5,34.75,106193.0
Syrian Arab Republic,Saudi Arabia,35,38,25,45,105266.0
India,Singapore,20,77,1.3667,103.8,105187.0
Bangladesh,Oman,24,90,21,57,102360.0
Somalia,Ethiopia,10,49,8,38,101938.0
Germany,Austria,51,9,47.3333,13.3333,101883.0
Syrian Arab Republic,Kuwait,35,38,29.3375,47.6581,101634.0
Kuwait,Saudi Arabia,29.3375,47.6581,25,45,101301.0
India,Kuwait,20,77,29.3375,47.6581,100904.0
Thailand,Cambodia,15,100,13,105,100363.0
Sierra Leone,Guinea,8.5,-11.5,11,-10,97669.0
Mozambique,Zimbabwe,-18.25,35,-20,30,95036.0
India,Australia,20,77,-27,133,94110.0
France,Portugal,46,2,39.5,-8,93565.0
Peru,Argentina,-10,-76,-34,-64,91182.0
Azerbaijan,Ukraine,40.5,47.5,49,32,90753.0
Mali,Nigeria,17,-4,10,8,90128.0
Armenia,Azerbaijan,40,45,40.5,47.5,89898.0
Poland,Israel,52,20,31.5,34.75,89706.0
Sri Lanka,Canada,7,81,60,-95,89335.0
Spain,Switzerland,40,-4,47,8,88369.0
Afghanistan,Kuwait,33,65,29.3375,47.6581,88350.0
Turkey,Switzerland,39,35,47,8,87066.0
China,Germany,35,105,51,9,86998.0
Georgia,Israel,42,43.5,31.5,34.75,86254.0
Iraq,Israel,33,44,31.5,34.75,85613.0
Lithuania,Poland,56,24,52,20,85576.0
Croatia,Austria,45.1667,15.5,47.3333,13.3333,85547.0
Morocco,Germany,32,-5,51,9,84619.0
Argentina,Spain,-34,-64,40,-4,83803.0
Brazil,Paraguay,-10,-55,-23,-58,82987.0
Guyana,Canada,5,-59,60,-95,82057.0
China,Indonesia,35,105,-5,120,81323.0
Pakistan,Canada,30,70,60,-95,81236.0
Belarus,Latvia,53,28,57,25,79328.0
Finland,France,64,26,46,2,79086.0
South Africa,Australia,-29,24,-27,133,79021.0
France,Canada,46,2,60,-95,78675.0
Bangladesh,Malaysia,24,90,2.5,112.5,77856.0
Malaysia,Australia,2.5,112.5,-27,133,77737.0
Togo,Nigeria,8,1.1667,10,8,76914.0
Turkey,France,39,35,46,2,76505.0
Turkey,Saudi Arabia,39,35,25,45,76483.0
Lebanon,Kuwait,33.8333,35.8333,29.3375,47.6581,76410.0
Tunisia,Italy,34,9,42.8333,12.8333,75808.0
China,Malaysia,35,105,2.5,112.5,75458.0
China,Italy,35,105,42.8333,12.8333,75109.0
Georgia,Germany,42,43.5,51,9,75104.0
Ghana,Cote d'Ivoire,8,-2,8,-5,75072.0
Greece,Canada,39,22,60,-95,74725.0
Mozambique,Portugal,-18.25,35,39.5,-8,74227.0
Guinea,Senegal,11,-10,14,-14,74213.0
Cote d'Ivoire,Mali,8,-5,17,-4,74193.0
Pakistan,France,30,70,46,2,74137.0
Pakistan,Oman,30,70,21,57,73001.0
Burundi,Tanzania,-3.5,30,TZA,-6,72272.0
Nigeria,Cameroon,10,8,6,12,72187.0
Hungary,Germany,47,20,51,9,71830.0
Georgia,Ukraine,42,43.5,49,32,71015.0
Japan,Brazil,36,138,-10,-55,70837.0
Lebanon,Australia,33.8333,35.8333,-27,133,70359.0
Indonesia,Singapore,-5,120,1.3667,103.8,70008.0
Bosnia and Herzegovina,Slovenia,44,18,46,15,69279.0
Tajikistan,Uzbekistan,39,71,41,64,68534.0
Tunisia,Libya,34,9,25,17,67943.0
India,Malaysia,20,77,2.5,112.5,67701.0
Greece,Albania,39,22,41,20,67508.0
Kazakhstan,Israel,48,68,31.5,34.75,67080.0
Ethiopia,Israel,8,38,31.5,34.75,66967.0
Lebanon,Canada,33.8333,35.8333,60,-95,66923.0
Georgia,Armenia,42,43.5,40,45,66796.0
France,Switzerland,46,2,47,8,65553.0
Singapore,Malaysia,1.3667,103.8,2.5,112.5,65444.0
Rwanda,Uganda,-2,30,1,32,65400.0
Chad,Cameroon,15,19,6,12,65397.0
Uzbekistan,Tajikistan,41,64,39,71,65152.0
Mali,Burkina Faso,17,-4,13,-2,64438.0
Benin,Togo,9.5,2.25,8,1.1667,64427.0
Argentina,Paraguay,-34,-64,-23,-58,64284.0
Trinidad and Tobago,Canada,11,-61,60,-95,63625.0
Pakistan,Kuwait,30,70,29.3375,47.6581,61987.0
Tanzania,Kenya,TZA,-6,1,38,61151.0
Benin,Cote d'Ivoire,9.5,2.25,8,-5,60847.0
Myanmar,India,22,98,20,77,60627.0
Greece,Turkey,39,22,39,35,59749.0
Romania,Canada,46,25,60,-95,59644.0
Guinea,Sierra Leone,11,-10,8.5,-11.5,58908.0
Turkey,Belgium,39,35,50.8333,4,58404.0
Ukraine,Germany,49,32,51,9,58163.0
Malaysia,Brunei Darussalam,2.5,112.5,4.5,114.6667,58104.0
Sri Lanka,Germany,7,81,51,9,58017.0
Zimbabwe,Malawi,-20,30,-13.5,34,57580.0
Poland,Australia,52,20,-27,133,57567.0
Latvia,Germany,57,25,51,9,56469.0
Australia,New Zealand,-27,133,-41,174,56375.0
Belarus,Lithuania,53,28,56,24,56314.0
Ukraine,Israel,49,32,31.5,34.75,56111.0
Germany,Italy,51,9,42.8333,12.8333,55821.0
Italy,Brazil,42.8333,12.8333,-10,-55,54958.0
Ukraine,Canada,49,32,60,-95,53801.0
Belgium,France,50.8333,4,46,2,53553.0
Ukraine,Latvia,49,32,57,25,53535.0
India,Qatar,20,77,25.5,51.25,52788.0
Sri Lanka,Australia,7,81,-27,133,52695.0
Haiti,Canada,19,-72.4167,60,-95,52606.0
Angola,Namibia,-12.5,18.5,-22,17,52200.0
Armenia,Ukraine,40,45,49,32,52168.0
Lebanon,Germany,33.8333,35.8333,51,9,51611.0
Croatia,Australia,45.1667,15.5,-27,133,51426.0
Bosnia and Herzegovina,Sweden,44,18,62,15,50956.0
Colombia,Ecuador,4,-72,-2,-77.5,50510.0
Thailand,Malaysia,15,100,2.5,112.5,50423.0
Ireland,Australia,53,-8,-27,133,49765.0
Senegal,Italy,14,-14,42.8333,12.8333,49590.0
Iraq,Germany,33,44,51,9,49506.0
Bosnia and Herzegovina,Switzerland,44,18,47,8,49417.0
Hungary,Canada,47,20,60,-95,49398.0
Bangladesh,Pakistan,24,90,30,70,48910.0
Jamaica,France,18.25,-77.5,46,2,48902.0
Iraq,Sweden,33,44,62,15,48824.0
